time,open,high,low,close,RSI,200 EMA,Volume,Volume MA
1614729600,48440.6,52623.9,48100,50345.5,57.30930571903837,27242.330199402484,3177.33190655,3836.2820554990017
1614816000,50347.6,51762.1,47505.7,48374.5,52.863948937819906,27452.600545677087,3624.19395423,3849.696211281001
1614902400,48374.5,49450,46189.8,48758.9,53.619559093978815,27664.60352532209,3697.31683845,3897.5215854965013
1614988800,48746.9,49255.1,47001,48871.9,53.85374502470646,27875.62140069202,1948.90604604,3826.9997546665013
1615075200,48885,51424.7,48885,50930.4,58.01284610694448,28105.022182774686,2444.31804446,3750.559578973001
1615161600,50956.6,52387.5,49287.5,52377,60.693898252650825,28346.534399861506,2710.88726745,3706.1092012810013
1615248000,52376.9,54867.6,51833.8,54867.6,64.85486501027499,28610.425599862883,3070.89338879,3691.8162646635014
1615334400,54867.5,57364,52911.4,55865.5,66.39008091601907,28881.6203700135,4049.45818563,3785.1332895785017
1615420800,55863.7,58150,54238,57781.1,69.17380775810409,29169.17738125715,3403.58024464,3767.841902014002
1615507200,57781,58057.5,55013.7,57238.5,67.46920040344406,29448.4741237322,4030.99746474,3799.6599757600015
1615593600,57220.7,61815.3,56059.3,61180.9,72.72778299441666,29764.219654839344,4394.44129195,3893.6824212710017
1615680000,61174.3,61700,59000,59000,66.33920805565103,30055.12294185587,3084.24739168,3741.549800663501
1615766400,59000,60632.9,54525.6,55607.1,57.82850222940229,30309.371469797603,5910.2633175,3634.6473418120013
1615852800,55607.1,56918.9,53240.3,56880.3,59.90711166615724,30573.75881835683,7410.58815623,3764.326929816001
1615939200,56880.3,58951.8,54147.5,58875.8,62.98643027471455,30855.37116842293,5828.40469311,3870.6563394395016
1616025600,58882.9,60107.7,57000,57648.9,59.938298020280975,31121.973445354048,5073.38351393,3857.832304622002
1616112000,57648.9,59450.1,56071,58024.2,60.566937139983786,31389.657291668933,3727.21944024,3900.584223394003
1616198400,58024.3,59874.6,57825.6,58113.5,60.72486084260209,31655.566174338896,2746.46669712,3840.911052221003
1616284800,58113.5,58591.6,55501,57350.2,58.56582640587834,31911.23417260418,3265.6758515,3826.7712637180025
1616371200,57345.3,58415.5,53667,54096.1,50.34737178272067,32131.97910621011,4220.08678226,3890.9330238250027
1616457600,54086.8,55823.1,52986.3,54348.4,50.922414507136644,32353.03802057618,4374.50575093,3950.7917160440024
1616544000,54348.4,57200,51499.6,52307.4,46.255482003188206,32551.588886043082,6416.41178925,4090.4026077950025
1616630400,52307.1,53239.1,50455,51301.7,44.110259831292204,32738.1571558337,7242.54822394,4267.664177069502
1616716800,51301.7,55062.5,51225.3,55032,52.84579449639076,32959.986437865206,4609.52096176,4400.694922855502
1616803200,55031.9,56628.6,53967.5,55820.4,54.46567811256759,33187.453239478484,3634.56862546,4460.207451905502
1616889600,55820.3,56541,54666.6,55772.9,54.3445483009594,33412.18405301601,3158.19871422,4482.573024244002
1616976000,55772.8,58400.5,54926.5,57628.9,58.25150005186246,33653.146400747195,4413.55088263,4549.705898936002
1617062400,57630.8,59351.9,57072.8,58754.6,60.461513047227974,33902.91210820245,3563.72275877,4525.419127593002
1617148800,58753.2,59800,56357.5,58745.9,60.434886004879694,34150.10601757357,4921.50385723,4601.315308222502
1617235200,58745.5,59487.1,57879,58735.7,60.4013001963588,34394.73879351811,3164.02859526,4557.966864748501
1617321600,58735.7,60179.1,58460.7,58963.6,60.92382746047975,34639.20507417962,2553.76321995,4465.932961148501
1617408000,58963.6,59795,56721.2,57058.3,54.45441485189189,34862.28064558082,2512.02788964,4437.3219860465015
1617494400,57052.5,58481.2,56432.6,58201.4,57.378638157181,35094.51068890837,2069.14649435,4245.266144889001
1617580800,58201.4,59254.1,56501,59116.2,59.6133849242046,35333.532473098334,3003.69180315,4024.921327235001
1617667200,59116.2,59497.5,57304.8,57988.3,55.73326953772629,35558.95304550532,2964.69186413,3881.735685786001
1617753600,57988.3,58668.6,55439,55958.2,49.489518154431295,35761.93062714208,5276.99861371,3891.916440775001
1617840000,55958.2,58141,55700.6,58076.7,55.13769613835544,35983.96813333967,3175.59206455,3864.3350719905006
1617926400,58076.7,58900,57666.9,58131.6,55.27726347508427,36204.34257977411,3516.09890423,3902.8166823460006
1618012800,58138.2,61350,57902.1,59770.2,59.34286048324825,36438.82872325894,5533.34648681,4016.200214111501
1618099200,59770.2,60687.4,59247.6,60007.6,59.91146278783287,36673.343860340945,3896.30178204,4000.010964100501
1618185600,60007.6,61270.7,59417.4,59863.4,59.368342595540454,36904.09068760123,4611.32869319,4011.8521112135013
1618272000,59863.4,63759.7,59815,63578.7,67.53455537376544,37169.50968573455,6906.1022364,4036.3366335710007
1618358400,63578.7,64840,61000,62958.7,65.18029255172183,37426.11854458296,7696.40695196,4059.029569972001
1618444800,62954.4,63772.1,62023.9,63152.6,65.58436155188278,37682.103434686614,4709.76459082,4064.041751425001
1618531200,63152.6,63509.7,59930.8,61342.6,58.73270101266827,37917.53126120714,8295.19804115,4297.073222209501
1618617600,61342.7,62497.8,59599.6,59995.2,54.19382808992834,38137.20955711553,5367.43417576,4407.534995286502
1618704000,59995.3,60409.5,49001,56150.6,43.79408116684056,38316.447272965124,11485.2335402,4761.119128165001
1618790400,56152.7,57583.4,54205.2,55618.8,42.57697190503487,38488.60998666696,7721.14598459,4968.990289456001
1618876800,55618.7,57061.6,53328,56427.8,45.07759681062344,38667.1093897847,8677.69023664,5156.799608426501
1618963200,56426.1,56761.7,53602,53793.6,39.10599656978764,38817.62173416495,6240.54822736,5310.625590031502
1619049600,53793.5,55474.7,50400,51696.4,35.117334003386105,38945.7687815862,8879.26622373,5626.900740220502
1619136000,51691.2,52112.1,47502.1,51102.7,34.058278987585936,39066.73327132166,8885.51054653,5945.574873065002
1619222400,51109.8,51157.9,48676.5,50033,32.17548945330266,39175.85035319906,4833.78287365,6083.806692030002
1619308800,50041.5,50554.6,46966.2,49086.9,30.566037738573016,39274.46776261996,4805.44615475,6173.894409610001
1619395200,49069,54336.4,48775.8,54000.2,45.74421893416721,39420.992461499365,6694.81958025,6360.4007954160015
1619481600,53997.1,55439,53240.8,55014.3,48.25830764054767,39576.14975043967,4344.4089075,6313.771310105501
1619568000,55014.2,56399.1,53808.3,54833.2,47.832046355914905,39727.96119570892,4801.3425726,6395.058835508001
1619654400,54833.1,55181.2,52340.1,53558.4,44.830236885971466,39865.57750221928,4356.1238694,6437.060083766501
1619740800,53558.5,57936.4,53042.6,57697.3,54.75766470728169,40043.007576824064,5000.48841165,6410.4171800085005
1619827200,57697.3,58471.4,57006.3,57794.7,54.96304715460496,40219.64133227855,3639.66974685,6397.585578249002
1619913600,57794.7,57903.7,56044.3,56568.5,51.776377734081535,40382.31654290265,3508.57020358,6342.447653768502
1620000000,56568.5,58977.9,56451.3,57159.7,53.18567551737939,40549.255681779236,4780.42834624,6236.163959260502
1620086400,57159.7,57188.2,53083.3,53196.3,43.91918341847856,40675.09691877646,7079.84720397,6205.335971861003
1620172800,53196.3,57979.7,52888,57431.5,53.28539678188018,40841.8272976941,6154.50119718,6277.572802179002
1620259200,57431.5,58362.4,55242,56397.6,51.044173184647256,40996.61110567724,6418.78985798,6183.752393020502
1620345600,56397.7,58643.2,55244.6,57307.3,52.920519451525124,41158.90651756105,6550.04716355,6242.8830424100015
1620432000,57307.2,59491,56910.4,58863.1,56.02477137954169,41335.067646739546,5871.94528144,5962.218629472001
1620518400,58863.1,59208.9,56227.1,58250.2,54.50021308556036,41503.37742139885,5830.42326192,5867.682493338501
1620604800,58250.3,59499.9,52538,55813.2,48.81240728839948,41645.76371571329,8150.87880954,5841.341921983501
1620691200,55813.2,56856,54428.1,56678.3,50.77629357419482,41795.34119117883,6868.0940426,5872.719212745501
1620777600,56678.4,57990,48352.8,49661.9,38.031610075931496,41873.61540818202,9545.2548722,5906.018645169001
1620864000,49627.6,51360.8,45800,49675.4,38.06382199301575,41951.245105613045,10033.34947647,5963.410591666001
1620950400,49675.4,51465,48813,49848.5,38.50522224746117,42029.82475630346,5450.96430874,5994.269663420501
1621036800,49848.4,50660.8,46556.7,46775.4,33.88783490801964,42077.04441046959,7795.2929729,6143.762004328002
1621123200,46775.5,49785.8,43877.8,46427.4,33.39940456892418,42120.331530763426,9409.31135516,6279.486593073501
1621209600,46426.1,46617,42112.5,43538.7,29.58724385175431,42134.44464986031,11722.98655301,6648.415475349002
1621296000,43531.1,45784.2,42267.2,42847.8,28.742255433007784,42141.542713045776,9551.96576076,6885.946634757002
1621382400,42850.7,43571,29000,36664.7,22.538585721049472,42087.04676565229,21805.56787126,7758.418834850001
1621468800,36670.8,42398.4,34875.4,40530.5,32.36741130309231,42071.55873813336,12863.31642678,8151.560235606501
1621555200,40522.7,42238.2,33433.3,37257,29.010574815021585,42023.65268103751,13368.63264089,8638.0083803085
1621641600,37252.7,38837.7,35210,37453.8,29.48406060391531,41978.18151008191,10180.23829337,8971.591784798
1621728000,37446.3,38271.7,31088,34676.9,26.77078321250164,41905.53194281741,14559.29417343,9460.535076157501
